;artists;Artist_origin;Song_Decade;music_key;Title;popularity;Language Specific Popularity
17967;Fats Waller;USA;1920;D#,Eb;Let's Get Away from It All;6;7.0
33515;Louis Armstrong;UK;1920;D#,Eb;When It's Sleepy Time Down South;3;4.0
33514;Louis Armstrong;UK;1920;D#,Eb;West End Blues;17;19.0
33513;Louis Armstrong;UK;1920;D#,Eb;Stardust;4;5.0
33512;Louis Armstrong;UK;1920;D#,Eb;My Sweet;3;4.0
33511;Louis Armstrong;UK;1920;D#,Eb;Mahogany Hall Stomp;5;6.0
33510;Louis Armstrong;UK;1920;D#,Eb;Chinatown, My Chinatown;4;5.0
33509;Louis Armstrong;UK;1920;D#,Eb;Body and Soul;18;22.0
33508;Louis Armstrong;UK;1920;C#,Db;When It's Sleepy Time Down South - Live;9;11.0
33507;Louis Armstrong;UK;1920;C#,Db;That Rhythm Man;4;5.0
33506;Louis Armstrong;UK;1920;C#,Db;Summer Song;19;21.0
33505;Louis Armstrong;UK;1920;C#,Db;Stardust;23;27.0
33504;Louis Armstrong;UK;1920;C#,Db;Rockin' Chair - Live;9;11.0
33503;Louis Armstrong;UK;1920;C#,Db;Rockin' Chair;9;11.0
33516;Louis Armstrong;UK;1920;E;Lazy River;21;25.0
33502;Louis Armstrong;UK;1920;C;On The Sunny Side Of The Street - Part 2;4;5.0
33500;Louis Armstrong;UK;1920;C;On The Sunny Side Of The Street - Live;31;35.0
33499;Louis Armstrong;UK;1920;C;Mack the Knife;67;73.0
33498;Louis Armstrong;UK;1920;C;I Can't Believe That You're In Love With Me;41;45.0
33497;Louis Armstrong;UK;1920;C;All Of Me;38;42.0
33496;Louis Armstrong;UK;1920;C;(What Did I Do to Be So) Black and Blue;5;6.0
33495;Louis Armstrong;UK;1920;C;(What Did I Do To Be So) Black And Blue;10;12.0
33494;Louis Armstrong;UK;1920;B;St. Louis Blues - Alternate Take B;4;5.0
33493;Louis Armstrong;UK;1920;B;St. Louis Blues;17;19.0
33492;Louis Armstrong;UK;1920;B;(What Did I Do to Be So) Black and Blue;3;4.0
33491;Louis Armstrong;UK;1920;A#,Bb;When You're Smiling - Non Vocal Take;5;6.0
33490;Louis Armstrong;UK;1920;A#,Bb;Song Of The Vipers;4;5.0
33489;Louis Armstrong;UK;1920;A#,Bb;Knockin' A Jug - 78 rpm Version;6;7.0
